model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,cv_mae,cv_rmse,cv_r2
linear_regression,0.15910503696480374,0.19601328967561646,0.9542382758666188,0.1550560560078522,0.19630825342373784,0.9533977379675411,0.15920923252183522,0.1974019290666496,0.9532733721820877
xgboost,0.11009598335202828,0.13811175893432048,0.9772808197917427,0.1656278706622977,0.21171492000327133,0.9457958162594752,0.17006204721552026,0.21382570034915388,0.9451917594429645
svr_rbf,0.08837031004297406,0.09741979272783784,0.9886961666486135,0.20244741839651892,0.2520017067783046,0.9232043105549038,0.20018107736332863,0.24910341993214438,0.9256629370565085
random_forest,0.07306520483311008,0.09119776004376587,0.9900939689065318,0.1963675205982804,0.2529338368548725,0.9226351401062332,0.1960724289516869,0.24602053097215498,0.9274816781650342
