model,train_rmse,test_rmse,cv_rmse,train_r2,test_r2,cv_r2,gap_rmse,gap_r2
linear_regression,0.19601328967561646,0.19630825342373784,0.1974019290666496,0.9542382758666188,0.9533977379675411,0.9532733721820877,0.0002949637481213796,0.0008405378990776757
xgboost,0.13811175893432048,0.21171492000327133,0.21382570034915388,0.9772808197917427,0.9457958162594752,0.9451917594429645,0.07360316106895085,0.031485003532267575
